output_idx,MAE,RMSE,R2
0,0.004041039758410569,0.00914911335300783,0.7189345690673971
1,0.013259583659013365,0.020933638234359175,0.6979857740468055
2,0.01825095896114121,0.027448987749764675,0.8695778312138218
3,0.02716217520698612,0.03929946982010171,0.9440444217092364
4,0.046832745782847164,0.06240256879058831,0.9711245547957942
5,0.07998833920125586,0.104198040913049,0.9777648994371694
6,0.12234228296359255,0.15819569173439274,0.9757784859157607
7,0.14878268617396975,0.19411423264238267,0.9712193003942778
8,0.14091850425653923,0.18454575432288814,0.967499644983589
9,0.15519477049252167,0.20314498698314373,0.9629809621438596
10,0.1692694452335295,0.22100898148127332,0.9558875644912717
11,0.1818593740254056,0.23558563743825497,0.9491314159775568
12,0.19248470723367858,0.24716676641793356,0.9398850295435685
13,0.20776983679647168,0.26477419026771165,0.926142302994449
14,0.2248909122923163,0.2839965961920596,0.8960161361250165
15,0.2584714875132372,0.3311005787507385,0.821807703333809
16,0.30984272372685434,0.4387938146200907,0.6616945125369477
17,0.4512717041598673,0.769314901658478,0.3625496563979352
18,0.7423898717627413,1.3843363427609552,0.18309766986538192
19,1.0336904273650835,1.9494970955625253,0.16169347655847702
20,1.1547255763717565,2.2151084684451803,0.1714423877350819
21,1.276135325526811,2.4794338726111365,0.19919613426829427
22,1.4681979881800216,2.7998029487250657,0.22383968915943853
23,1.6645282510169015,3.0991248344802926,0.2611421599579975
24,1.8877718965490171,3.458440459789053,0.30956944338234277
25,2.0630242446652973,3.7269379801665656,0.37496990487213316
26,2.2335943343888456,3.9968635049344514,0.4370569388751431
27,2.4314226444992286,4.316482177379523,0.49479591688845553
28,2.6603102961071974,4.701490155147998,0.5403798010673355
29,2.9244508715273416,5.195318655999675,0.5784905920123703
30,3.2315245229945386,5.804767269724053,0.6042366170144297
31,3.5731531283733875,6.4889459776137715,0.6188165965606321
32,3.928977125375505,7.212078559691656,0.6210817886803931
33,4.291107888529676,7.937355671354049,0.6180712558038266
34,4.677773131789805,8.679500366006877,0.611421582792889
35,5.053997136320288,9.33888093931626,0.601210217567049
36,5.420700060391144,9.932020092311433,0.5839718720086876
37,5.755522653071139,10.417795342593228,0.5615409416250333
38,6.01187538490283,10.693477311351174,0.5357147164627831
39,6.206120170378493,10.851937718060293,0.5038609395932366
40,6.322072615861313,10.849555970145738,0.4707813142739676
41,6.3728176389022115,10.661353558364269,0.4421512806152597
42,6.409512462897062,10.440078903076166,0.41506967266266354
43,6.452048496099316,10.220987180083972,0.3925723587870844
44,6.464373065920733,9.986307446010246,0.37677031932341204
45,6.405256371537035,9.678238967475046,0.36293393208589436
46,6.228097212623882,9.236468475532906,0.3485803291396264
47,5.940053208659907,8.687250644870739,0.334551197093432
48,5.550641657412289,8.045697769817512,0.3252030555789751
49,5.118683042777779,7.377577969174354,0.3181027659334714
