output_idx,MAE,RMSE,R2
0,0.0014243596646991645,0.0034952181112647127,0.9523787123577777
1,0.002219733284936087,0.006908331783728552,0.9658923695314326
2,0.0037963734290573678,0.008563600786977625,0.9795629059081646
3,0.006989659619022898,0.011761123861244477,0.991434831881421
4,0.013744179523302603,0.018001047191872815,0.9977777900473396
5,0.019453285680692822,0.026905237210034988,0.9985856791261162
6,0.02889275407317693,0.03837901558106919,0.9985197703232457
7,0.039267035581361194,0.05067025958107189,0.9980577287538859
8,0.04460168826223721,0.06015152525811072,0.9966850556481454
9,0.06306604533676798,0.08402759282476434,0.993680862438913
10,0.07617781831842246,0.10161085064952591,0.9913203923881652
11,0.08848969569409128,0.1170028428633565,0.9892611018010693
12,0.10355693129118905,0.13599282574983007,0.9844552384992076
13,0.12358244597990414,0.16105782827130313,0.9755678972419203
14,0.15232289514546463,0.1948363778626648,0.9521798188488031
15,0.18609261569677019,0.24209864108063792,0.9020650676427745
16,0.2306973795430615,0.354257243966899,0.7790735801756493
17,0.4011461400811174,0.704355030496154,0.4508059170915068
18,0.6756200711691625,1.2773182301631827,0.29730631606171576
19,0.9319957017829325,1.776948137948313,0.27460661440592476
20,0.9960274164514268,1.952215210860935,0.33298568745032897
21,1.0771227529763918,2.1549500789551677,0.36198532183419013
22,1.1950556865471216,2.35472693768155,0.4065549561214472
23,1.3205665630047336,2.562340549254515,0.44335461191444736
24,1.4635616413715997,2.7874526132382633,0.5008714964738838
25,1.5994212302881463,2.966144698668677,0.5536933716680774
26,1.738567125289764,3.1692140004347475,0.6022632895016008
27,1.8972743122990054,3.4143399401142123,0.6494735549968705
28,2.07747180252658,3.738773442982268,0.6894251189165482
29,2.3021812976416975,4.187975016652706,0.7153284332801872
30,2.5837179355447466,4.773875375144621,0.7282847072570894
31,2.8952806372521294,5.433657408934678,0.735460065645069
32,3.2314992437918133,6.151688898534929,0.7320286156084056
33,3.5775644753732565,6.886082656270282,0.7216183292924155
34,3.9606990309047254,7.65189236017764,0.7094461849178999
35,4.3326512433256505,8.333522822502077,0.6958779397346433
36,4.7038805879965455,8.938366594055784,0.675162767053925
37,5.039646615484388,9.450484806591689,0.6508883746917037
38,5.323207257361358,9.781756840569807,0.6226337895243274
39,5.546619130491975,9.964592393468147,0.5916413502397412
40,5.698045915482138,10.000703762918688,0.560275600949122
41,5.790166968223009,9.880811707039312,0.530116609386127
42,5.869695370191053,9.707828534352558,0.5027626260619041
43,5.918759166513371,9.500608292979708,0.48247508061322764
44,5.948516931857649,9.296905744235826,0.46632330121893767
45,5.9107575485442085,9.01969040845207,0.4525575534118274
46,5.75510433835061,8.610315261599014,0.43888968293415287
47,5.496649297884045,8.097057850469547,0.42642144568313095
